,WB_No,Year,Month,District,Ward,Village,subvillage,site.name,water.body._type,water.body.name,CorrectedWBName,Longitude..E.,Attitude..m.,water_level,season,snail_present,number_snails_collected,snail_size.1.3mm.,X.4.6mm.,X.7.9mm.,X.10.12mm.,X.13.15mm.,X.16.18mm.,X.19.21mm.,X..21mm.,infe_snail,Date.of.1st.Sheding.att., ,Date,Exp_schisto,X.1.3mm.,X.4.6mm..1,X.7.9mm..1,X.10.12mm..1,X.13.15mm..1,X.16.18mm..1,X.19.21mm..1,X..21mm..1,Total..VE
63,63,2020,November,Misungwi,Bulemeji,Buganda,Ijijawenda A,Kwa ng'wambohyo,pond,kisima cha kwa ng'wambohyo site 01,Kisima cha kwa Ng'wambohyo Site 1,033 ͦ01.342',1174,Normal,Rainy,"Bulinus, Pila and Forskal",15,0,0,0,3,8,4,0,0,0,14-Nov-20,17/11/2020,13-Nov-20,,0,0,0,0,0,0,0,0,0
64,64,2020,November,Misungwi,Bulemeji,Buganda,Ijijawenda A,Kwa ng'wambohyo,pond,kisima cha kwa ng'wambohyo site 02,Kisima cha kwa Ng'wambohyo Site 2,033 ͦ01.337',1172,Normal,Rainy,"Biomphalalia,Pila and Bulinus",39,0,0,2,22,15,0,0,0,0,14-Nov-20,17/11/2020,13-Nov-20,,0,0,0,0,0,0,0,0,0
65,65,2020,November,Misungwi,Bulemeji,Buganda,Ijijawenda A,Kwa ng'wakakwale,pond,Kisima cha ng'wakakwale,Kisima cha Ng'wakakwale,033 ͦ01.316',1175,Normal,Rainy,Bulinus and pila,21,0,0,11,10,0,0,0,0,0,14-Nov-20,17/11/2020,13-Nov-20,,0,0,0,0,0,0,0,0,0
66,66,2020,November,Misungwi,Bulemeji,Buganda,Ijijawenda A,kwa ng'wamabula,pond,kisima cha ng'wamabula,kisima cha Ng'wamabula,033 ͦ01.370',1179,Normal,Rainy,"Bulinus, Pila and Forskal",9,0,0,0,6,3,0,0,0,0,14-Nov-20,17/11/2020,13-Nov-20,,0,0,0,0,0,0,0,0,0
67,67,2020,November,Misungwi,Bulemeji,Buganda,Ijijawenda A,kwa ng'walubatula,pond,kisima chwa ng'walubatula,kisima cha Ng'walubatula,033 ͦ01.281',1170,Normal,Rainy,Bulinus and pila,123,0,0,29,74,20,0,0,0,0,14-Nov-20,17/11/2020,13-Nov-20,,0,0,0,0,0,0,0,0,0
68,68,2020,November,Misungwi,Bulemeji,Buganda,Ijijawenda A,kwa ng'wamapocho,pond,kisima cha ng'wamapocho,Kisima cha Ng'wamapocho,033 ͦ01.147',1194,Normal,Rainy,Bulinus,2,0,1,0,0,1,0,0,0,1,14-Nov-20,16/11/2020,13-Nov-20,Shistosoma haematobium,0,0,0,0,1,0,0,0,1
69,69,2020,November,Misungwi,Bulemeji,Buganda,Ijijawenda B,Kwa mwakapaya,pond,Lambo la mwakapaya,Lambo la Mwakapaya,033 ͦ01.088',1165,Normal,Rainy,Bulinus and Lymneae,24,0,0,0,1,2,6,15,0,0,16-Nov-20,19/11/2020,15-Nov-20,,0,0,0,0,0,0,0,0,0
70,70,2020,November,Misungwi,Bulemeji,Buganda,Ijijawenda B,kwa jela,pond,kisima cha kwa jela,kisima cha kwa Jela,033 ͦ01.219',1156,Normal,Rainy,Bulinus and pila,15,0,0,0,2,5,8,0,0,0,16-Nov-20,19/11/2020,15-Nov-20,,0,0,0,0,0,0,0,0,0
71,71,2020,November,Misungwi,Bulemeji,Buganda,Ijijawenda B,kwa mwabulemo,pond,Lambo la mwabulemo,Lambo la Mwabulemo,033 ͦ00.764',1174,Normal,Rainy,Bulinus and pila,19,0,0,0,0,4,13,2,0,2,17-Nov-20,19/11/2020,16-Nov-20,Shistosoma haematobium,0,0,0,0,2,0,0,0,2
72,72,2020,November,Misungwi,Bulemeji,Buganda,Ijijawenda B,kwa suka,pond,kisima cha kwa suka,kisima cha kwa Suka,033 ͦ00.660',1176,Normal,Rainy,Bulinus and Lymneae,25,0,0,0,6,19,0,0,0,0,17-Nov-20,19/11/2020,16-Nov-20,,0,0,0,0,0,0,0,0,0
73,73,2020,November,Misungwi,Bulemeji,Buganda,Ijijawenda B,kwa zwanja,pond,kisima cha kwa zwanja,kisima cha kwa Zwanja,033 ͦ00.604',1182,Normal,Rainy,Bulinus and Lymneae,18,0,0,0,0,8,10,0,0,0,17-Nov-20,19/11/2020,16-Nov-20,,0,0,0,0,0,0,0,0,0
74,74,2020,November,Misungwi,Bulemeji,Buganda,Buganda,kwa mwandimanya,pond,Lambo la mwandimanya,Lambo la Mwandimanya,033 ͦ00.005',1196,Normal,Rainy,Bulinus and pila,13,0,0,5,2,4,2,0,0,0,17-Nov-20,19/11/2020,16-Nov-20,,0,0,0,0,0,0,0,0,0
75,75,2020,December,Misungwi,Bulemeji,Buganda,Nyamijundu B,Nyamijundu B,"Dam,Temporary",lambo la kwa makongoro,Lambo la kwa Makongoro,032 ͦ59.818΄,1162,Normal,Rainy,"Bulinus,pila",3,0,0,0,0,2,1,0,0,0,16-Nov-20,19/11/2020,15-Nov-20,,0,0,0,0,0,0,0,0,0
