,WB_No,Year,Month,District,Ward,Village,subvillage,site.name,water.body._type,water.body.name,CorrectedWBName,Longitude..E.,Attitude..m.,water_level,season,snail_present,number_snails_collected,snail_size.1.3mm.,X.4.6mm.,X.7.9mm.,X.10.12mm.,X.13.15mm.,X.16.18mm.,X.19.21mm.,X..21mm.,infe_snail,Date.of.1st.Sheding.att., ,Date,Exp_schisto,X.1.3mm.,X.4.6mm..1,X.7.9mm..1,X.10.12mm..1,X.13.15mm..1,X.16.18mm..1,X.19.21mm..1,X..21mm..1,Total..VE
242,242,2020,December,Sengerema,Buyagu,Isole,senta,senta,Pond,kisima cha simon iswaga,Kisima cha Simon Iswaga,032 ͦ44.474΄,1179,Normal,Rainy,Bulinus and lymneae,48,0,0,5,14,27,2,0,0,0,16-Dec-20,12/16/20,15-Dec-20,,0,0,0,0,0,0,0,0,0
243,243,2020,December,Sengerema,Buyagu,Isole,Bugalama,Bugalama,Pond,Kisima la laulian Edward,Kisima la Laulian Edward,032 ͦ43.377΄,1163,Normal,Rainy,Bulinus and forskali,14,0,0,0,3,9,2,0,0,0,14-Dec-20,12/16/20,13-Dec-20,,0,0,0,0,0,0,0,0,0
244,244,2020,December,Sengerema,Buyagu,Isole,Bugalama,Bugalama,Pond,lambo la cosmas ngusule,Lambo la Cosmas Ngusule,032 ͦ43.059΄,1158,Normal,Rainy,Bulinus,3,0,0,0,0,1,2,0,0,0,14-Dec-20,12/16/20,13-Dec-20,,0,0,0,0,0,0,0,0,0
245,245,2020,December,Sengerema,Buyagu,Isole,Nduha,Nduha,Pond,lambo la joseph malyengete,Lambo la Joseph Malyengete,032 ͦ43.694΄,1161,Normal,Rainy,Bulinus and forskali,75,0,0,0,0,36,39,NA,0,1,14-Dec-20,12/15/20,13-Dec-20,Schistosoma haematobium,0,0,0,0,0,0,1,0,1
246,246,2020,December,Sengerema,Buyagu,Mulaga,mbeya,mbeya,Pond,lambo la kubilu maliganya,Lambo la Kubilu Maliganya,032 ͦ49.055΄,1166,Normal,Rainy,Bulinus and Pila,62,0,0,0,NA,28,31,3,0,0,13-Dec-20,12/15/20,12-Dec-20,,0,0,0,0,0,0,0,0,0
247,247,2020,December,Sengerema,Kasungamile,Nyantakubwa,chamigumo,mundamushimu,Pond,kisima cha mundamshimu,Kisima cha Mundamshimu,032 ͦ42.943΄,1186,Normal,Rainy,"Bulinus,pila",35,0,0,0,1,5,22,7,0,0,16-Dec-20,12/18/20,15-Dec-20,,0,0,0,0,0,0,0,0,0
248,248,2020,December,Sengerema,Kasungamile,Nyantakubwa,Nyantakubwa,kwa ngomboji,Pond,kisima cha ngomboji,Kisima cha Ngomboji,032 ͦ44.251΄,1151,Normal,Rainy,Bulinus and Pila,25,0,0,0,2,0,19,4,0,0,16-Dec-20,12/18/20,15-Dec-20,,0,0,0,0,0,0,0,0,0
249,249,2020,December,Sengerema,Kasungamile,Nyantakubwa,chamigumo,kwa milembe busunzule,Pond,kisima cha milembe busunzule,Kisima cha Milembe Busunzule,032 ͦ43.163΄,1181,Normal,Rainy,Bulinus and Pila,23,0,0,0,1,2,15,5,0,0,16-Dec-20,12/18/20,15-Dec-20,,0,0,0,0,0,0,0,0,0
250,250,2020,December,Sengerema,Kasungamile,Nyantakubwa,Nyantakubwa,kwa bufalo,Pond,kisima cha bufalo,Kisima cha Bufalo,032 ͦ44.133΄,1151,Normal,Rainy,Bulinus and Pila,27,0,0,0,5,13,9,0,0,0,16-Dec-20,12/18/20,15-Dec-20,,0,0,0,0,0,0,0,0,0
251,251,2020,December,Sengerema,Kasungamile,Nyantakubwa,Buchela,kwa Ng'ong'o,Pond,kisima cha Ng'ong'o,Kisima cha Ng'ong'o,032 ͦ43.740΄,1179,Normal,Rainy,Bulinus and Pila,9,0,0,0,0,5,4,0,0,0,16-Dec-20,12/18/20,15-Dec-20,,0,0,0,0,0,0,0,0,0
252,252,2020,December,Sengerema,Kasungamile,Kasungamile,Nyakatome,kwa ing'ombe,Pond,lambo/kisima cha ing'ombe,Lambo/Kisima cha Ing'ombe,032 ͦ42.077΄,1229,Normal,Rainy,"Bulinus,Lymneae  ",54,0,0,0,11,30,13,0,0,3,15-Dec-20,12/17/20,14-Dec-20,Schistosoma haematobium,0,0,0,0,0,3,0,0,3
253,253,2020,December,Sengerema,Kasungamile,Kasungamile,Nyachina,nyachina,Pond,kisima cha jeremia,Kisima cha Jeremia,032 ͦ44.380΄,1160,Normal,Rainy,"Bulinus,pila",64,0,0,28,36,0,0,0,0,0,15-Dec-20,12/17/20,14-Dec-20,,0,0,0,0,0,0,0,0,0
254,254,2020,December,Sengerema,Kasungamile,Kasungamile,iseni,iseni,Pond,kisima cha james yamlinga,Kisima cha James Yamliga,032 ͦ42.961΄,1180,Normal,Rainy,"Bulinus,Lymneae and Pila",68,0,0,20,21,27,0,0,0,0,15-Dec-20,12/17/20,14-Dec-20,,0,0,0,0,0,0,0,0,0
255,255,2020,December,Sengerema,Kasungamile,Kasungamile,Mwalolela,mwalolela,Pond,kisima cha kasimu hasani,Kisima cha Kasimu Hasani,032 ͦ42.293΄,1206,Normal,Rainy,"Bulinus, pila",53,0,0,0,9,12,12,20,0,0,15-Dec-20,12/17/20,14-Dec-20,,0,0,0,0,0,0,0,0,0
256,256,2020,December,Sengerema,Kasungamile,Kasungamile,kasungamile,kasungamile,Dam,lambo la yeya kiniga,Lambo la Yeya Kiniga,032 ͦ42.608΄,1233,Normal,Rainy,Bulinus,42,0,0,0,8,34,0,0,0,0,15-Dec-20,12/17/20,14-Dec-20,,0,0,0,0,0,0,0,0,0
257,257,2020,December,Sengerema,Kasungamile,Kasungamile,Nyachina,nyachina,Pond,kisima cha lazaro makumiabili,Kisima cha Lazaro Makumiabili,032 ͦ44.362΄,1163,Normal,Rainy,"Bulinus, pila",72,0,0,50,6,9,7,0,0,0,15-Dec-20,12/17/20,14-Dec-20,,0,0,0,0,0,0,0,0,0
258,258,2020,December,Sengerema,Kasungamile,Kasungamile,iseni,iseni,Pond,kisima cha marco mabina,Kisima cha Marco Mabina,032 ͦ43.493΄,1165,Normal,Rainy,Bulinus and Pila,7,0,0,1,3,2,1,0,0,0,15-Dec-20,12/17/20,14-Dec-20,,0,0,0,0,0,0,0,0,0
259,259,2020,December,Sengerema,Kasungamile,Nyamililo,kati,kwa njimba,Pond,lambo la kwa njimba,Lambo la kwa Njimba,032 ͦ40.487΄,1206,Normal,Rainy,"Bulinus,Lymneae and Pila",20,0,0,4,8,8,0,0,0,0,17-Dec-20,12/19/20,16-Dec-20,,0,0,0,0,0,0,0,0,0
260,260,2020,December,Sengerema,Kasungamile,Nyamililo,nyachanda,kwa igogo,Pond,kisima cha igogo,Kisima cha Igogo,032 ͦ41.050΄,1164,Normal,Rainy,Bulinus,12,0,0,0,11,1,0,0,0,0,17-Dec-20,19/12/2020,16-Dec-20,,0,0,0,0,0,0,0,0,0
261,261,2020,December,Sengerema,Kasungamile,Nyamililo,bulunga A,kwa msonga,Dam/stream,lambo/mtoni kwa msonga ,Lambo/Mtoni kwa Msonga,032 ͦ38.492΄,1172,Normal,Rainy,Bulinus,2,0,0,1,0,1,0,0,0,2,17-Dec-20,12/19/20,16-Dec-20,Schistosoma haematobium,0,0,2,0,0,0,0,0,2
262,262,2020,December,Sengerema,Kasungamile,Nyamililo,bulunga B,Kwa Dotto philipo,Pond,Kisima cha kwa Buta,Kisima cha kwa Buta,032 ͦ39.229΄,1168,Normal,Rainy,"Bulinus,pila,forskali",12,0,0,4,6,2,0,0,0,0,17-Dec-20,12/19/20,16-Dec-20,,0,0,0,0,0,0,0,0,0
263,263,2020,December,Magu,Buhumbi,Kitongo,Mwabalatulu A,Kwa ludandigeja malaba,pond,Lambo la mwabalatulu,Lambo la Mwabalatulu,033 ͦ30.424',1185,Normal,Rainy,Bulinus and lymneae,23,0,8,12,3,0,0,0,0,0,29-Dec-20,12/31/20,28-Dec-20,,0,0,0,0,0,0,0,0,0
264,264,2020,December,Magu,Buhumbi,Kitongo,Mwabalatulu A,kwa salubusheni,pond,Kisima hang'ongwa,Kisima Hang'ongwa,033 ͦ30.484',1202,Normal,Rainy,Bulinus ,39,0,2,23,14,0,0,0,0,0,29-Dec-20,12/31/20,28-Dec-20,,0,0,0,0,0,0,0,0,0
265,265,2020,December,Magu,Buhumbi,Kitongo,Mwabatemi,kwa luhya kihinu,Dam,Lambo la luhya kitunu,Lambo la Luhya Kihinu,033 ͦ29.642',1209,Normal,Rainy,Bulinus,3,0,0,1,1,1,0,0,0,0,29-Dec-20,12/31/20,28-Dec-20,,0,0,0,0,0,0,0,0,0
266,266,2020,December,Magu,Sukuma,Iseni,Iseni,Kisima cha mwabalogi,pond,Kisima cha mwabalogi,Kisima cha Mwabalogi,033.50344 ͦ,1240,Normal,Rainy,Bulinus,1,0,0,0,1,0,0,0,0,0,29-Dec-20,12/31/20,28-Dec-20,,0,0,0,0,0,0,0,0,0
267,267,2020,December,Magu,Sukuma,Iseni,Burundi,kisima cha burundi/nojaminzi,pond,Kisima cha burundi/nojaminzi,Kisima cha Burundi/Nojaminzi,033.50125 ͦ,1201,Normal,Rainy,Bulinus and Pila,2,0,0,0,1,1,0,0,0,0,29-Dec-20,12/31/20,28-Dec-20,,0,0,0,0,0,0,0,0,0
268,268,2020,December,Magu,Sukuma,Iseni,mwabaluhi,kwa dela ndalawa,pond,kisima cha mwakabizo,Kisima cha Mwakabizo,033.50078 ͦ,1230,Normal,Rainy,Bulinus ,7,0,0,2,4,1,0,0,0,0,29-Dec-20,12/31/20,28-Dec-20,,0,0,0,0,0,0,0,0,0
269,269,2020,December,Magu,Sukuma,Iseni,Rwanda,lambo la joseph mayunga,pond,Lambo la joseph mayunga,Lambo la Joseph Mayunga,033.50943 ͦ,1186,Normal,Rainy,Bulinus,21,0,1,4,12,4,0,0,0,0,29-Dec-20,12/31/20,28-Dec-20,,0,0,0,0,0,0,0,0,0
270,270,2020,December,Magu,Sukuma,Iseni,Rwanda,Lambo la rwanda,pond,lambo la rwanda,Lambo la Rwanda,033.50993 ͦ,1184,Normal,Rainy,Bulinus,56,0,0,1,12,43,0,0,0,0,29-Dec-20,12/31/20,28-Dec-20,,0,0,0,0,0,0,0,0,0
271,271,2020,December,Magu,Sukuma,Iseni,Rwanda,Kisima cha kibimbila,pond,kisima cha kibimbila,Kisima cha Kibimbila ,033.50801 ͦ,1201,Normal,Rainy,Bulinus and Pila,19,0,5,13,1,0,0,0,0,0,29-Dec-20,12/31/20,28-Dec-20,,0,0,0,0,0,0,0,0,0
272,272,2020,December,Magu,Sukuma,Iseni,shimanyilwenteni,Lambo la mwabulilo,pond,lambo la mwabulilo,Lambo la Mwabulilo Site 2,033.51423 ͦ,1200,Normal,Rainy,Bulinus,41,0,0,1,12,14,14,0,0,0,29-Dec-20,12/31/20,28-Dec-20,,0,0,0,0,0,0,0,0,0
273,273,2020,December,Magu,Sukuma,Iseni,shimanyilwenteni,lambo la mwabulilo,pond,lambo la mwabulilo 2,Lambo la Mwabulilo Site 1,033.51426 ͦ,1206,Normal,Rainy,Bulinus,40,0,0,9,13,14,4,0,0,0,29-Dec-20,12/31/20,28-Dec-20,,0,0,0,0,0,0,0,0,0
274,274,2021,January,Magu,Nyigogo,Yichobela,Kabazu,kisima cha bohe mke,"pond,permanent",kisima cha bohe mke,Kisima cha Bohe Mke,033.36300 ͦ,1215,Normal,Rainy,"Bulinus,Biomphalaria",5,0,0,0,0,5,0,0,0,0,4-Jan-21,1/6/21,3-Jan-21,,0,0,0,0,0,0,0,0,0
275,275,2021,January,Magu,Nyigogo,Yichobela,N'gwabagikilu,kisima cha nkina,"pond,Temporay",Kisima cha nkina,Kisima cha Nkina,033.36602 ͦ,1226,Normal,Rainy,Bulinus,22,0,0,0,0,20,2,0,0,0,4-Jan-21,1/6/21,3-Jan-21,,0,0,0,0,0,0,0,0,0
276,276,2021,January,Magu,Nyigogo,Yichobela,Kabazu,Lambo la kwa bohe,"pond,Temporay",lambo la kwa bohe,Lambo la kwa Bohe,033.36180 ͦ,1212,Normal,Rainy,Bulinus,0,0,0,0,0,0,0,0,0,0,4-Jan-21,1/6/21,3-Jan-21,,0,0,0,0,0,0,0,0,0
277,277,2021,January,Magu,Nyigogo,Yichobela,N'gwabagikilu,lambo la Nkilijiwa,"pond,permanent",lambo la nkilijiwa,Lambo la Nkilijiwa,033.36519 ͦ,1221,Normal,Rainy,Bulinus,14,0,0,8,0,5,0,1,0,0,4-Jan-21,1/6/21,3-Jan-21,,0,0,0,0,0,0,0,0,0
278,278,2021,January,Magu,Nyigogo,Yichobela,N'gwabasabi,lambo la sholi,"pond,Temporay",lambo la sholi,Lambo la Sholi,033.35930 ͦ,1231,Normal,Rainy,Bulinus,20,0,0,4,0,16,0,0,0,0,4-Jan-21,1/6/21,3-Jan-21,,0,0,0,0,0,0,0,0,0
279,279,2021,January,Magu,Nyigogo,Yichobela,Ihushi A,Ng'wabukwimba,"pond,permanent",kisima cha ng'wabukwimba,Kwa Ng'wabukwimba,033.35037 ͦ,1229,Normal,Rainy,Bulinus,1,0,0,0,1,0,0,0,0,0,4-Jan-21,1/6/21,3-Jan-21,,0,0,0,0,0,0,0,0,0
280,280,2021,January,Magu,Nyigogo,Yichobela,Ng'wabasabi,kisima cha ntubi site 2,"pond,Temporay",kisima cha ntubi site 2,Kisima cha Ntubi Site 2,033.35852 ͦ,1230,Normal,Rainy,Bulinus,19,0,0,0,9,10,0,0,0,0,4-Jan-21,1/6/21,3-Jan-21,,0,0,0,0,0,0,0,0,0
281,281,2021,January,Magu,Nyigogo,Yichobela,Bugando,lambo la nghundi,"pond,permanent",lambo la nghundi,Lambo la Ng'hundi ,033.35891 ͦ,1223,Normal,Rainy,Bulinus,2,0,0,0,0,0,1,1,0,0,4-Jan-21,1/6/21,3-Jan-21,,0,0,0,0,0,0,0,0,0
282,282,2021,January,Magu,Nyigogo,Yichobela,Ng'wabasabi,kisima cha ntubi,"pond,permanent",kisima cha ntubi,Kisima cha Ntubi,033.35987 ͦ,1234,Normal,Rainy,Bulinus,2,0,0,0,0,2,0,0,0,0,4-Jan-21,1/6/21,3-Jan-21,,0,0,0,0,0,0,0,0,0
283,283,2021,January,Magu,Nyigogo,Yichobela,Ng'wamande,kisima cha ng'wagalani,"pond,permanent",Kisima cha N'gwagalani,Kisima cha Ng'wagalani,033.34461 ͦ,1250,Normal,Rainy,Bulinus,86,0,0,0,38,48,0,0,0,0,4-Jan-21,1/6/21,3-Jan-21,,0,0,0,0,0,0,0,0,0
284,284,2021,January,Magu,Nyigogo,Yichobela,Ihushi B,lambo la N'gwan'go,pond'Temporary,lambo la N'gwan'gomba,Lambo la Ng'wang'homba,033.34193 ͦ,1212,Normal,Rainy,Bulinus,22,0,0,0,8,14,0,0,0,0,4-Jan-21,1/6/21,3-Jan-21,,0,0,0,0,0,0,0,0,0
285,285,2021,January,Magu,Mwamabanza,Salong'we,salong'we A,Shamba makalinywiwa urasa,"pond,Temporay",kisima cha makelanhyiwa,Kisima cha Makelanhyiwa,033 ͦ23.475',1232,Normal,Rainy,Bulinus,17,0,0,2,0,14,1,0,0,0,4-Jan-21,1/6/21,3-Jan-21,,0,0,0,0,0,0,0,0,0
286,286,2021,January,Magu,Mwamabanza,Salong'we,Mwaneha,shamba la manori shelembi,"Dam,permanent",lambo la Njimya,Lambo la Njimya,033 ͦ22.757',1246,Normal,Rainy,Bulinus,40,0,0,6,13,21,0,0,0,0,4-Jan-21,1/6/21,3-Jan-21,,0,0,0,0,0,0,0,0,0
287,287,2021,January,Magu,Mwamabanza,Salong'we,salong'we A,shamba maja manyanza,"Dam,Temporary",lambo la kwa maja,Lambo la kwa Maja,033 ͦ23.459',1231,Normal,Rainy,Bulinus,66,0,0,26,24,16,0,0,0,0,4-Jan-21,1/6/21,3-Jan-21,,0,0,0,0,0,0,0,0,0
288,288,2021,January,Magu,Mwamabanza,Salong'we,Mwaneha,shamba la pauline shelembi,"pond,permanent",kisima cha njundu,Kisima cha Njundu,033 ͦ23.206',1251,Normal,Rainy,Bulinus,20,0,0,8,0,12,0,0,0,0,4-Jan-21,1/6/21,3-Jan-21,,0,0,0,0,0,0,0,0,0
289,289,2021,January,Magu,Buhumbi,Nyashoshi,Nyashoshi,kwa shigongo,"pond,Temporay",kisima cha idete,Kasimu cha Idete,033 ͦ30.180',1218,Normal,Rainy,Bulinus,1,0,0,0,0,1,0,0,0,0,5-Jan-21,1/7/21,4-Jan-21,,0,0,0,0,0,0,0,0,0
290,290,2021,January,Magu,Buhumbi,Nyashoshi,Nyashoshi,kwa mahalu,"Dam,Temporary",lambo la nkoma,Lambo la Nkoma,033 ͦ29.859',1222,Normal,Rainy,Bulinus,1,0,0,1,0,0,0,0,0,0,5-Jan-21,1/7/21,4-Jan-21,,0,0,0,0,0,0,0,0,0
291,291,2021,January,Magu,Buhumbi,Nyashoshi,Nyashoshi,kwa Nhambu,"pond,Temporay",lambo la kwa Nhambu,Lambo la kwa Nhambu,033 ͦ29.057',1211,Normal,Rainy,Bulinus,19,0,0,11,6,2,0,0,0,0,5-Jan-21,1/7/21,4-Jan-21,,0,0,0,0,0,0,0,0,0
292,292,2021,January,Magu,Buhumbi,Nyashoshi,Nyashoshi,kwa makune,"pond,Temporay",kisima cha mwamabeshi,kisima cha Mwamabeshi,033 ͦ28.938',1204,Normal,Rainy,Bulinus,24,0,0,10,10,3,1,0,0,0,5-Jan-21,1/7/21,4-Jan-21,,0,0,0,0,0,0,0,0,0
293,293,2021,January,Magu,Buhumbi,Nyashoshi,Nyashoshi,kwa chandaluba,"Dam,Temporary",Lambo la chandaluba,Kwa Mayala Chandaluba,033 ͦ30.306',1210,Normal,Rainy,Bulinus,36,0,0,13,10,12,1,0,0,0,5-Jan-21,1/7/21,4-Jan-21,,0,0,0,0,0,0,0,0,0
294,294,2021,January,Magu,Buhumbi,Nyashoshi,Nyashoshi,kwa shoka Bukelebe,"Pond, Temporary",Lambo la Shoka Bukelebe,Lambo la Shoka Bukelebe,033 ͦ30.141',1213,Normal,Rainy,"Bulinus,Pila",81,0,0,1,0,43,35,2,0,2,5-Jan-21,1/6/21,4-Jan-21,S. haematobium,0,0,0,0,1,1,0,0,2
295,295,2021,January,Magu,Buhumbi,Nyashoshi,Kisumo B,kwa mpogolo,"Dam,Temporary",lambo la mpogolo,Lambo la Mpogolo,033 ͦ29.142',1210,Normal,Rainy,Bulinus,37,0,0,1,11,18,7,0,0,0,5-Jan-21,1/7/21,4-Jan-21,,0,0,0,0,0,0,0,0,0
296,296,2021,January,Magu,Buhumbi,Nyashoshi,Kisumo B,kwa maleba,"pond,Temporay",kisima cha mwamaleba,Kisima cha Mwamaleba,033 ͦ29.283',1214,Normal,Rainy,Bulinus,18,0,0,4,7,1,6,0,0,0,5-Jan-21,1/7/21,4-Jan-21,,0,0,0,0,0,0,0,0,0
297,297,2021,January,Magu,Buhumbi,Nyashoshi,mabatini,kwa Nkola,"Dam,Temporary",lambo la kwa Nkola,Lambo la Nkola,033 ͦ29.582',1216,Normal,Rainy,Bulinus,115,0,0,0,26,61,28,0,0,0,5-Jan-21,1/7/21,4-Jan-21,,0,0,0,0,0,0,0,0,0
298,298,2021,January,Magu,Buhumbi,Nyashoshi,mabatini,kwa mishaka kalikali,"pond,Temporay",kisima cha ng'wamanungu,Kisima cha Ng'wamanungu,033 ͦ29.433',1219,Normal,Rainy,Bulinus,41,0,1,5,16,13,6,0,0,0,5-Jan-21,1/7/21,4-Jan-21,,0,0,0,0,0,0,0,0,0
299,299,2021,January,Busega,Mkula,Mkula,Mwangimu,Lambo la Mwangimu,"Dam,Permanent",Lambo la Mwangimu,Lambo la Mwangimu,033.87556 ͦ,1252,Flooded,Rainy,Bulinus,2,0,0,0,0,0,2,0,0,0,6-Jan-21,1/8/21,5-Jan-21,,0,0,0,0,0,0,0,0,0
300,300,2021,January,Busega,Mkula,Mkula,Masanganyi A,Lambo la wachina,"Dam,Permanent",Lambo la wachina,Lambo la Wachina,033.87734 ͦ,1257,Normal,Rainy,Bulinus,58,0,0,0,30,15,13,0,0,0,6-Jan-21,1/8/21,5-Jan-21,,0,0,0,0,0,0,0,0,0
301,301,2021,January,Magu,Sukuma ,Nyang'hanga ,Nyang'hanga B ,Kwa ng'wamchanga mabawa,"Pond, Permanent",Kisima cha Ng'wamchanga mabawa,Kisima cha Ng'wamchanga Mabawa,033 ͦ30.226',1216,Normal,Rainy,Bulinus,137,0,0,0,42,38,57,0,0,0,6-Jan-21,1/8/21,5-Jan-21,,0,0,0,0,0,0,0,0,0
302,302,2021,January,Magu,Sukuma ,Nyang'hanga ,Nyang'hanga A ,Kwa ng'wamgingili,"Pond, Permanent",Kisima cha Ng'wamgingili,Kisima cha Ng'wamgingili,033 ͦ30.402',1216,Normal,Rainy,Bulinus,80,0,0,0,32,41,6,1,0,0,6-Jan-21,1/8/21,5-Jan-21,,0,0,0,0,0,0,0,0,0
303,303,2021,January,Magu,Sukuma ,Nyang'hanga ,Nyang'hanga A ,Kwa ng'wamgingili,"Pond, Temporary",Lambo la Ng'wamgingili,Lambo la Ng'wamgingili,033 ͦ30.414',1215,Normal,Rainy,Bulinus,30,0,0,13,7,6,4,0,0,0,6-Jan-21,1/8/21,5-Jan-21,,0,0,0,0,0,0,0,0,0
304,304,2021,January,Magu,Sukuma ,Nyang'hanga ,Selya,Kwa Nzali Lusakamila,"Pond, Temporary",Kisima cha ngado,Kisima cha Ngado,033 ͦ31.260',1199,Normal,Rainy,Bulinus,9,0,0,4,1,1,3,0,0,0,6-Jan-21,1/8/21,5-Jan-21,,0,0,0,0,0,0,0,0,0
305,305,2021,January,Magu,Sukuma ,Nyang'hanga ,Selya,Kwa Nzali Lusakamila,"Pond, Temporary",Lambo la ngado,Lambo la Ngado,033 ͦ31.268',1196,Normal,Rainy,Bulinus,4,0,0,0,1,2,1,0,0,0,6-Jan-21,1/8/21,5-Jan-21,,0,0,0,0,0,0,0,0,0
306,306,2021,January,Magu,Sukuma ,Nyang'hanga ,Iwelimo,Kwa ng'wangunja,"Pond, Permanent",Kisima cha ng'wangunja,Kisima cha Ng'wangunja,033 ͦ30.047',1220,Normal,Rainy,Bulinus,84,0,0,31,29,13,11,0,0,0,6-Jan-21,1/8/21,5-Jan-21,,0,0,0,0,0,0,0,0,0
307,307,2021,January,Magu,Sukuma ,Nyang'hanga ,ng'wabayanda,Kwa shimula masalu,"Pond, Temporary",Kisima cha shimula masalu,Kisima cha Shimula Masalu,033 ͦ30.868',1201,Normal,Rainy,Bulinus,2,0,0,2,0,0,0,0,0,0,6-Jan-21,1/8/21,5-Jan-21,,0,0,0,0,0,0,0,0,0
308,308,2021,January,Magu,Sukuma ,Nyang'hanga ,Galamugi,Kwa william salala,"Pond, Temporary",Lambo la ng'wabamba,Lambo la Ng'wabamba,033 ͦ31.738',1156,Normal,Rainy,Bulinus,68,0,0,0,6,13,39,10,0,0,6-Jan-21,1/8/21,5-Jan-21,,0,0,0,0,0,0,0,0,0
309,309,2021,January,Magu,Sukuma ,Nyang'hanga ,Ng'wamakanza,Kwa mayela kamanija,"Pond, Temporary",Lambo la mayelakamanija,Lambo la Mayala Kamanija,033 ͦ31.533',1195,Normal,Rainy,Bulinus,100,0,0,0,43,39,12,6,0,0,6-Jan-21,1/8/21,5-Jan-21,,0,0,0,0,0,0,0,0,0
310,310,2021,January,Magu,Sukuma ,Nyang'hanga ,Nyasho,kwa yulisi mabandi,"Pond, Temporary",Lambo la Yulisi mbandi,Lambo la Yulisi Mbandi,033 ͦ30.260',1209,Normal,Rainy,Bulinus,82,0,0,0,59,20,3,0,0,0,6-Jan-21,1/8/21,5-Jan-21,,0,0,0,0,0,0,0,0,0
311,311,2021,January,Magu,Sukuma ,Nyang'hanga ,Nyasho,ng'wambata,"Pond, Permanent",Kisima cha ng'wambata,Kisima cha Ng'wambata,033 ͦ30.246',1206,Normal,Rainy,Bulinus,84,0,0,31,29,13,11,0,0,0,6-Jan-21,1/8/21,5-Jan-21,,0,0,0,0,0,0,0,0,0
312,312,2021,January,Magu,Sukuma ,Nyang'hanga ,Ng'wamalangahe,Kwa john kayoka,"Pond, Temporary",Kisima cha john kayoka,Kisima cha John Kayoka,033 ͦ30.476',1205,Normal,Rainy,Bulinus and Pila,36,0,0,3,5,6,18,4,0,0,6-Jan-21,1/8/21,5-Jan-21,,0,0,0,0,0,0,0,0,0
313,313,2021,January,Magu,Sukuma ,Nyang'hanga ,Nyanguganwa,kwa runyilija salamu,"Pond,Permanet",Lambo la nyasho,Lambo la Nyasho,033 ͦ29.874',1215,Normal,Rainy,Bulinus,7,0,0,1,0,3,3,0,0,0,6-Jan-21,1/8/21,5-Jan-21,,0,0,0,0,0,0,0,0,0
314,314,2021,January ,Magu,Buhumbi,Mwamibanga ,Mwamibanga A,Lambo la Lung'wecha,Pond temporary,Lambo la Lung'wecha,Lambo la Lung'wecha,033.46653°,1169,Normal,Rainy,Bulinus,8,0,0,1,1,1,5,0,0,0,5-Jan-21,7/1/21,4-Jan-21,,0,0,0,0,0,0,0,0,0
315,315,2021,January ,Magu,Buhumbi,Mwamibanga ,Mwamibanga A,Kisima cha kwa Bagi,Pond temporary,Kisima cha kwa Bagi,Kisima cha kwa Bagi,033.46954°,1177,Normal,Rainy,Bulinus,136,0,0,5,18,37,72,4,0,0,5-Jan-21,7/2/21,4-Jan-21,,0,0,0,0,0,0,0,0,0
316,316,2021,January ,Magu,Buhumbi,Mwamibanga ,Mwamhuli,Kisima kwa ntungwa,Pond temporary,Kisima kwa ntungwa,Kisima kwa Ntungwa,033.47346°,1227,Normal,Rainy,Bulinus,44,0,0,0,2,22,20,0,0,0,5-Jan-21,7/3/21,4-Jan-21,,0,0,0,0,0,0,0,0,0
317,317,2021,January ,Magu,Buhumbi,Mwamibanga ,Iseni ,Kisima cha kwa Sinzo,Pond temporary,Kisima cha kwa Sinzo,Kisima cha kwa Sinzo,033.47436°,1191,Normal,Rainy,Bulinus,6,0,0,0,2,0,4,0,0,0,5-Jan-21,7/4/21,4-Jan-21,,0,0,0,0,0,0,0,0,0
318,318,2020,December,Magu,Mwamabanza,Mwamabanza,Ntinda,Kwa masilingi,Pond,Kisima cha kwa Masilingi,Lambo la kwa Masilingi,033.40694 ͦ,1194,Normal,Rainy,Bulinus,14,0,3,1,6,2,2,0,0,0,28-Dec-20,12/30/20,27-Dec-20,,0,0,0,0,0,0,0,0,0
319,319,2020,December,Magu,Mwamabanza,Mwamabanza,Ntinda,kwa kitakung'wa,Pond,Kisima cha kitakung'wa,Kisima cha kwa Kitakung'wa,033.41557 ͦ,1194,Normal,Rainy,Bulinus,3,0,0,2,0,1,0,0,0,0,28-Dec-20,12/30/20,27-Dec-20,,0,0,0,0,0,0,0,0,0
320,320,2020,December,Magu,Mwamabanza,Mwamabanza,Ntinda,lambo la kwa misungwi,Pond,Lambo la kwa Misungwi,Lambo la kwa Misungwi,033.40693 ͦ,1204,Normal,Rainy,Bulinus,64,0,0,12,31,17,4,0,0,0,28-Dec-20,12/30/20,27-Dec-20,,0,0,0,0,0,0,0,0,0
321,321,2020,December,Magu,Mwamabanza,Mwamabanza,Ihale,Kwa Ntega,Pond,Lambo la kwa Ntega,Lambo la kwa Ntenga,033.41268 ͦ,1196,Normal,Rainy,Bulinus,117,0,0,0,9,53,28,25,2,0,28-Dec-20,12/30/20,27-Dec-20,,0,0,0,0,0,0,0,0,0
322,322,2020,December,Magu,Mwamabanza,Mwamabanza,Mwabanza,Kwa kisale,Pond,Kisima cha kwa Kisale,Kisima cha kwa Kisale,033.41936 ͦ,1205,Normal,Rainy,Bulinus,6,0,0,0,4,2,0,0,0,0,28-Dec-20,12/30/20,27-Dec-20,,0,0,0,0,0,0,0,0,0
